TIME_PERIOD,OBS_VALUE,Tau
05FEB2020,0.0686560869,21
05FEB2020,0.0882310786,22
05FEB2020,0.1061823898,23
05FEB2020,0.1226900493,24
05FEB2020,0.1379118499,25
05FEB2020,0.151985792,26
05FEB2020,0.1650324769,27
05FEB2020,0.177157337,28
05FEB2020,0.1884526504,29
05FEB2020,0.1989993238,30
06FEB2020,-0.617091335,1
06FEB2020,-0.634690199,2
06FEB2020,-0.638073965,3
06FEB2020,-0.621371447,4
06FEB2020,-0.586976422,5
06FEB2020,-0.539896808,6
06FEB2020,-0.485217855,7
06FEB2020,-0.427136054,8
06FEB2020,-0.368738626,9
06FEB2020,-0.312101009,10
06FEB2020,-0.258490738,11
06FEB2020,-0.208580458,12
06FEB2020,-0.162631273,13
06FEB2020,-0.120635918,14
06FEB2020,-0.082423753,15
06FEB2020,-0.047734117,16
06FEB2020,-0.016265401,17
06FEB2020,0.0122936091,18
06FEB2020,0.0382447984,19
06FEB2020,0.0618702022,20
06FEB2020,0.0834269788,21
06FEB2020,0.1031458394,22
06FEB2020,0.1212315424,23
06FEB2020,0.1378645336,24
06FEB2020,0.1532031395,25
06FEB2020,0.1673859487,26
06FEB2020,0.1805341637,27
06FEB2020,0.1927538048,28
06FEB2020,0.2041377094,29
06FEB2020,0.2147673062,30
07FEB2020,-0.627816674,1
07FEB2020,-0.65117218,2
07FEB2020,-0.659578434,3
07FEB2020,-0.647495151,4
07FEB2020,-0.6173309,5
07FEB2020,-0.574038105,6
07FEB2020,-0.522663635,7
07FEB2020,-0.467402216,8
07FEB2020,-0.411370311,9
07FEB2020,-0.356691708,10
07FEB2020,-0.304690503,11
07FEB2020,-0.256096328,12
07FEB2020,-0.211223015,13
07FEB2020,-0.170109461,14
07FEB2020,-0.132623923,15
07FEB2020,-0.098537622,16
07FEB2020,-0.067574559,17
07FEB2020,-0.039443794,18
07FEB2020,-0.013859322,19
07FEB2020,0.009448532,20
07FEB2020,0.0307273455,21
07FEB2020,0.0502004076,22
07FEB2020,0.0680667188,23
07FEB2020,0.0845022397,24
07FEB2020,0.0996617828,25
07FEB2020,0.1136811618,26
07FEB2020,0.1266793677,27
07FEB2020,0.1387606404,28
07FEB2020,0.1500163675,29
07FEB2020,0.1605267839,30
10FEB2020,-0.623613065,1
10FEB2020,-0.646957387,2
10FEB2020,-0.657006856,3
10FEB2020,-0.646939967,4
10FEB2020,-0.618581144,5
10FEB2020,-0.576669218,6
10FEB2020,-0.526222018,7
10FEB2020,-0.471487161,8
10FEB2020,-0.415661789,9
10FEB2020,-0.360951522,10
10FEB2020,-0.308751919,11
10FEB2020,-0.259850102,12
10FEB2020,-0.214603647,13
10FEB2020,-0.17308331,14
10FEB2020,-0.135179638,15
10FEB2020,-0.100678815,16
10FEB2020,-0.06931438,17
10FEB2020,-0.040801052,18
10FEB2020,-0.014855787,19
10FEB2020,0.0087899489,20
10FEB2020,0.0303837765,21
10FEB2020,0.0501497605,22
10FEB2020,0.0682880995,23
10FEB2020,0.0849761662,24
10FEB2020,0.1003702611,25
10FEB2020,0.1146076761,26
10FEB2020,0.1278088184,27
10FEB2020,0.1400792538,28
10FEB2020,0.1515115921,29
10FEB2020,0.1621871831,30
11FEB2020,-0.628510639,1
11FEB2020,-0.651099248,2
11FEB2020,-0.660487984,3
11FEB2020,-0.649732892,4
11FEB2020,-0.620614853,5
11FEB2020,-0.577872313,6
11FEB2020,-0.526542762,7
11FEB2020,-0.470899816,8
11FEB2020,-0.414165606,9
11FEB2020,-0.358566401,10
11FEB2020,-0.305513062,11
11FEB2020,-0.255802893,12
11FEB2020,-0.209799315,13
11FEB2020,-0.167575542,14
11FEB2020,-0.1290221,15
11FEB2020,-0.093923455,16
11FEB2020,-0.062010351,17
11FEB2020,-0.032994107,18
11FEB2020,-0.006588012,19
11FEB2020,0.017480171,20
11FEB2020,0.0394616467,21
11FEB2020,0.0595838553,22
11FEB2020,0.0780501132,23
11FEB2020,0.095040633,24
11FEB2020,0.1107142769,25
11FEB2020,0.1252106315,26
11FEB2020,0.13865215,27
11FEB2020,0.1511462167,28
